review,stars,label
"من به همراه دخترم و همسرم دو سال پیش به این هتل رفتم واقعا همه چی عالی برخورد کارکنان ،کیفیت غذا،تمیزی اتاق واقعا خوب بود برای نوروز امسال هم دوباره به همین هتل میریم و به همه پیشنهاد میکنم حتما این هتل و انتخاب کنن",5,2
"من و همسرم اسفند ٩٦ در اين هتل اقامت داشتيم
واقعا عالي بود
پرسنل كاربلد و مودب كه مهم ترين مزيت هتل مريمه
محيط خوب و مناسب و تميز
غذاي خوب و صبحانه مفصل
شارژ اتاقها خوب
اميدوارم همين كيفيت حفظ بشه",5,2
"14اسفند بمدت دو شب دراین هتل اقامت داشتیم, از همه نظر خوب بود تمیزی هتل و اتاقها,برخورد بسیار محترمانه کارکنان بخصوص سرکار خانم رحیمی , صبحانه بسیار خوب و متنوع ,فضای سبز زیبای هتل و همچنین نزدیکی به اسکله تفریحی و مرکز خرید زیتون, این هتل را به همه پیشنهاد میکنم و انتخاب همیشگی خودم میباشد",4,2
"عالی بود من شش سال پیش برای ماه عسل با همسرم به این هتل رفتیم.هیچوقت فراموش نمیکنم فضای زیبای هتل را پرسنل مهربون و مودب هتل فوق العاده بودند غذاها بسیار خوشمزه همه چیز برای من عالی وتمیز وبا کیفیت بود شاید بگین عروس بودی وسرخوش اما من بعد از ماه عسلم به کانادا آمدم. وهیچ وقت خاطرات شیراز وهتل زیبای ارم را فراموش نکردم وهر وقت که اینجا به مسافرت میریم اون همه تجملاتی که توی هتلهای ایران هست را اینجا ما دیگه ندیدیم.یادش بخیر شیراز،ایران عزیزم.",5,2
من با خانواده ام 1 هفته آنجا بودیم . بسیار خوش گذشت . نور اتاق ها عالی بود صبحانه و ناهار بسیار عالی و خوشمزه بود و شما عزیزی که گفته بودی خیلی بدمزه بود باید بگم که ... اتاق ها هم بسیار عالی بود . و به نظر من این هتل لیاقت 5 ستاره بودن رو داره,5,2
سلام من یک ماه پیش در هتل شمس قشم بودم واقعا هتل خوبی بود...از لحاظ نزدیکی به دریا ومراکز خرید..و از همه مهمتر پرسنل های خیلی خوبی داشت مخصوصا اون دوتا پسر که بخش کافی شاپش بودن خیلی بچهای خوبی بودن..من ب این هتل امتیاز کامل میدم .,5,2
سلام بنده با همراه خانوادم چهار روز در این هتل اقامت داشیم از راز نظر ترانسفر فرودگاهی بسیار عالی برخورد پرسنل عالی برخورد رستوران حرف نداشت بنده چهار بار سفر کیش داشتم هیچ هتلی خدمات فلامینگو را ندارد بخصوص گلبرگ دوست داشتنی عزیز هر موقع تماس گرفتیم با کمال میل به ما سرویس داد سفر بعدی ما اگر کیش باشه حتما هتل فلامینگو,4,2
"هتل از همه نظر عالی بود.تنها نکته منفی نداشتن سرویس تا حرم بود.البته مسافت تا حرم زیاد نیست ولی بدلیل پیچ در پیچ بودن کوچه ها و نابلدی مسیر حرم ،روز اول ورودمون ما خیلی اذیت شدیم.ولی در کل اگر این مشکل حل بشه خود من قطعا در سفرهای بعدی این هتل رو انتخاب خواهم کرد.از نظر برخورد پرسنل و منوی غذایی و کیفیت غذاها و تمیزی اتاقها هم که هیچ حرفی نیست.بنظرم این هتل لیاقت4ستاره بودنو داره.",5,2
ما از تاریخ ۵اسفند ۹۶تا۸اسفند ۹۶ در این هتل اقامت داشتیم مزایا نظافت و تمیزی عالی صبحانه تمیز متنوع و خوشمزه فضا و ساحل اختصاصی بسیار زیبا برخورد کارکنان عالی معایب دوری از شهر قشم تقریبا ۸کیلومتر,4,1
"من از روز افتتاح ( روز افتتاح هم اونجا بودم )این هتل تا به امروز سالانه دو بار به این هتل رفتم و غیر از اینجا هم هیچ هتل دیگه ای تو قشم نمیرم، امکاناتش کمه ولی ساحل عااالی و آرامش صبحگاهی اش رو با هیچ جا عوض نمیکنم",5,2
اقامت ما از ۲۷ بهمن تا اول اسفند ۱۳۹۶ بود ترانسفر فرودگاهی خوب بود برخورد کارکنان خوب بود از نظر نظافت سرویس بهداشتی در حد هتل ۵ ستاره نبود در قسمت لابی یک سرویس بهداشتی در قسمت بانوان بود که اصلا تمیز ودر حد هتل ۵ ستاره نبود ولی اتاق ها خوب بودن غذای رستوران هم متنوع وخوب بود ولی عالی نبود در کل هتل خوبی است وما از اقامت در انجا راضی بودیم,5,2
من 3 روز در این هتل اقامت داشتم در کل راضی بودم چه از رفتار پرسنل هتل و چه نظافت و تمیزی. فقط نور اتاقها کم بود ولی اتاق بزرگ و خوبی بهمون دادن. صبحونه در حد معمولی بود. کلا نسبت به قیمتش همه چی اکی بود.,3,2
"امتیاز کامل! هتل مشیر بسیار شیک، با کارکنان مودب و زحمتکش (ویژگی مردم شریف یزد ) با صبحانه عالی. من، همسرم و دختر شش شب مقیم این هتل بودیم، جای هیچ گله باقی نگذاشتند.",4,2
"هتل شیک زیبا ارام با پرسنلی حرفه ای و مهربان.
واقعا اوقات خوشی را دراین هتل سپری کردم.هتل استقلال مقصد همیشگی من در شهرقم خواهد بود.
باسپاس از ایران بوکینگ که این هتل را به من معرفی کرد.",5,2
من سال ۹۶ ایام چند روز تعطیلات قشم بودم و ۲شب از این هتل استفاده کردم هتل از نظر تمیزی خوب وصبحانه نیز رضایت بخش بود واتاقها مثل هتلها ی ترکیه خیلی کوچک بود ولی نوساز و خوب بود قیمت اتاقها ولی در زمان پیک خیلی گران بود تا شبی ۵۰۰ ولی غیر پیک ۱۴۰ گرفتم که خوب بود.,4,2
من هفته پیش به همراه خانواده در این هتل اقامت داشتم و میتونم به جرأت بگم یکی از بهترین هتل هایی بود که در کل عمرم رفته بودم. کیفیت و امکانات از هر لحاظ عالی بود و ما صبحانه و ناهار و شام رو در داخل هتل داشتیم که کیفیت غذا باور نکردنی بود... رفتار پرسنل بی نهایت عالی و محترمانه ست و در هر زمان و با حوصله به مشکلتون رسیدگی میکنن..اتاق ها و امکانات داخلشون کاملا تمیز و کامل بودن و هیچ کمبودی وجود نداشت. من به همه کسایی که قشم رو برای سفر انتخاب کردن حتما حتما این هتل رو پیشنهاد میکنم.,4,2
"تمیزه، تازه بازسازی شده و همه چی نو به نظر میاد غیر از مبل داخل اتاق ها، اما مبلمان و تخت ها و کمدها خیلی بی کیفیته ممکنه در کمد رو که باز کنین بشکنه
سرویس دهی کارکنان ضعیفه اما میشه باهاش کنار اومد، همش باید بهشون بگی، دستمال نیست باید بگی بیارن، یخچال خالیه باید بگی آب بیارن، یه چیزی تو اتاق خرابه باید بگی درستش کنن، کلن اتاق رو چک نکرده تحویلت میدن خودت باید چک کنی نواقصش رو بگی بیان درست کنن.
صبحونه خیلی مختصره، کره مربا و پنیر و تخم مرغ هرروز همینه.
دمپایی هتلی یکبار مصرف ندارن اما همین دمپایی آبیا :) که گذاشتن خوبه و تمیزه. توالت فرنگی بود که موقع تحویل اتاق خیس بود و کاغذ پلمپ ضدعفونی شدن رو هم روش نذاشته بودن، شیرآلات هم مال 6 سال پیش بود و زنگ زده بود.
واسه ما که مهمترین فاکتور تمیزی اتاق بود تجربه خوبی بود.",3,0
"تاریخ سفر 22الی 25 بهمن 1396،بنده برای اولین بار به قشم اومدم و در این هتل اقامت داشتم و موقعی که به قشم و هتل رسیدم خوشحال بودم چون کلا تصور دیگری داشتم که خدارو شکر غلط بود و در این سه روز اقامت سوییت ما خوب بود و هر موقع درخواستی داشتیم توسط پرسنل خونگرم این مجموعه انجام میشد،فقط با توجه به پرسشهای انجام شده متوجه شدم که به دلایل امنیتی تا از پرسنل خواسته نشه در نبود میهمان برای نظافت اتاقها وارد نمیشن و به دلایل بهداشتی حوله هم بعد از ورود باید درخواست بشه",5,2
"امروز سومین روز اقامت من به همراه همسر وپسرم در هتل شایگانه ،به همه ی دوستان توصیه میکنم که تو انتخاب این هتل شک نکنن،واقعا تمیز و شیکه ،رسیدگی پرسنل و برخودشون عالیه،صبحانه متنوع و خوب ،کیفت و قیمت ناهار و شام مناسب و خوب و در کل تمیز بودن هتل برای من خیلی مهم بود که الان واقعا خوشحالم از انتخابم وقطعا تو سفرهای بعدی همینجارو انتخاب میکنم از نظر دسترسی به بازارها و اسکله تفریحی عالیه پیاده دو دقیقه تا مرکز تجاری و پانیذ و۵دقیقه تا پردیسها و هایپرمارکت خلاصه همه چی عااالی",4,2
با سلام من يك ٢ بار با خانواده رفتيم پارميس هتل از نظر من خيلي عالي بود خصوصاً تَو قلب جزيره و در يك مكان عالي قرار داره يك مدير داخلي بسيار مهربان و خوش اخلاق داره به اسم اقاي گنجي زاده توصيه مي كنم حداقل يك بار برين,3,2
"من براى يك شب اقامت داشتم بهمراه همسرم چشم انداز اتاق عالى بود از نظر تميزى هم خوب بود ولى صبحانه هتل أصلا در حد هتل ٤ستاره نبود، فست فود أصلا كيفيت نداشت سرويس دهى كافى شاپ هم أصلا خوب نبود",3,1
"سلام . من 4 شب در هتل بودم .
به طور کلی هتل خوبی بود .مخصوصا فضای سبز بسیار زیبایی داشت . منوی صبحانه عالی بود . ما کابانا گرفته بودیم .
اتاقها بسیار بزرگ با نور خوب بود .سرویس بهداشتی هم خیلی بزرگ بود .برخورد کارکنان هم عالی بود .
منتها چند مورد : 
یکی اینکه اصلا فکر نمیکردم که هتل 5 ستاره چایی ساز در اتاق نداشته باشه .
و دیگه اینکه اتاقاش علارقم پنجره های بلند امکان باز شدن نداشتن و نمیشد باز کرد .
و مورد دیگه هم شیر الات قدیمی بود .
و اینکه جالباسی در سرویس بهداشتی کم بود و جای یک رخت اویز هم خالی بود .
و حتی یک پیش دستی و کارد میوه خوری هم در اتاق نبود .
و ی پیشنهاد هم داشتم اینکه در کنار قران یک مفاتیح هم در اتاق باشه خالی از لطف نیست .
با تشکر از مدیریت محترم",3,0
من وهمسرم در تاریخ 16 الی 18 اسفند 96 در این هتل به مدت سه شب اقامت داشتیم.علارغم برخورد خوب پرسنل تمیزی و آن تایم بودن هتل اما از دکور اتاق راضی نبودیم.دیوارها یه دست سفید بوده و پرده ها اصلا زیبا نبودن و اتاق را دلگیر کرده بودند.اما صبحانه خیلی خوبی داشتند و برخورد همگی خوب و عالی بود.,4,1
من وخانواده ام 18تا20. اسفند در هتل شایگان بودیم هتل خیلی تمیزی بود اتاق ها خیلی تمیز ومرتب برخورد پرسنل عالی صبحانه ی خیلی متنوع .لابی خیلی تمیز وشیک بود در کل اگه ده بار دیگه هم به کیش برم باز هم هتل شایگانو انتخاب میکنم,4,2
"سلام و سپاس ازمدیریت و پرسنل خوب و با اخلاق هتل سی نور 
در چند هتل پنج ستاره در کشورهای اروپایی و توریستی اقامت داشته ام و نیز در هتل های خوب کشورمان ، اما حال و هوای این هتل و برخورد پرسنل خوب این هتل را هیج کجا تجربه نکردم ، رفتار محترمانه و با متانت و در عین حال دوستانه کادر این هتل مثال زدنی است و بهترین شکل مشتری مداری و تکریم را بجا می آورند ،از مهمان نوازی اتان بسیار سپاسگزارم",5,2
"ما سه شب همراه خانواده در این هتل اقامت داشتیم
به نظرم در مجموع نسبت به هتلهای سه ستاره بسیار خوب بود
اگر قسمت شود بار دیگر به مشهد بروم همین هتل را انتخاب میکنم",3,2
من به همراه همسرم بهمن ماه 96 سه روز اقامت داشتیم رفتار پذیرش بسیار خشک و بد بود که اصلا در حد هتل 5 ستاره نبود و انتظارات بیشتر بود ولی رفتار کارکنان خیلی خوب بود . صبحانه هتل شایان رو بیشتر از هتل شایگان دوست داشتم ولی فکر نکنم دوباره بیام هتل شایگان چون معیارهای من به هتل شایان خیلی نزدیکتره,3,0
"با سلام
ما شهريور ٩٦ به هتل قصر رفتيم و از همه نظر عالي بود و تولد پسرم براش كيك و هديه فرستادن و تشكر ميكنم بابت اينكه چندماه بعد از اون براي سالگرد ازدواج مون از مشهد به تهران كارت تبريك و هديه فرستادن . انتخاب ما تو سفرهاي بعدي هم همين هتل خواهد بود",5,2
"بهمن سال 94 به اتفاق همسرم دو شب مهمان این هتل بودیم. هتلی نوساز و فوق العاده آرام. نزدیک به برخی دیدنی های یزد و البته با فاصله نسبت به مرکز شهر و بافت سنتی.
بسیار تمیز و شیک با معماری داخلی مدرن
برخورد پرسنل محترمانه
کیفیت غذا خیلی خوب از امکانات جانبی استفاده نکردم و از کیفیتشان خبر ندارم.
قیمت مناسب- آن موقع تقریبا با قیمت هتل مشیرالممالک یا لاله برابر بود که به ما بیست درصد تخفیف هم دادند

در یزد تجربه از هتل لاله هم داشتیم که خوب بود. ولی اگر دوباره یزد بروم حتما به هتل ارگ می روم.",5,2
سلام من میهمان این هتل در تاریخ 96/11/14 بودم بسیار عالی بود از همه لحاظ فوق العاده بود بسیار تمیزو شیک. ویوی اتاق فوق العاده بود.فقط تنها ضعف این هتل این بود که پرسنلی که اتاق را می بایست تمیز کنن بدون اینکه ما ازشون درخواست کرده باشیم میومدم داخل!! و این به نظرم برای یک همچین هتلی ضعف بزرگیه و رفتار کاملا غیرحرفه ایه!!!!,5,1
"با عرض سلام من به همراه همسرم و پسر پنج سالم دیماه ۹۶ به مدت ۴ روز و سه شب در هتل ارم اقامت داشتیم.
موارد ضعف و قوت هتل رو عرض می کنم:
موارد قوت:محل هتل که فاصله کمی تا ساحل دریا و مراکز تجاری مهم داشت.تختخواب تمیز و راحت.رفتار مناسب پرسنل.
موارد ضعف:عدم وجود توالت ایرانی در اتاق.کیفیت پایین و نامناسب غذا.عدم وجود نور مناسب در اتاق(فقط یه لامپ وجود داشت که بسیار دلگیر بود)عدم سرو میوه...
در کل من اصلا از هتل راضی نبودم.",2,0
"سلام به همه دوستان، ما براي سالگرد ازدواجمان( تير ٩٦) ٤ روز در اين هتل اقامت داشتيم، اولا كه كاملا با همسر من براي زيبا سازي اتاق با بهترين گل هاي رز و بادكنك همكاري لازم رو كرده بودن ، و براي پذيرايي هم كيك خوشمزه و ميوه گذاشته بودن، كه همه چيز عالي و زيبا بود،و واقعا سوپرايز عالي بود.
برخورد پرسنل محترمانه بود و ميز صبحانه واقعا كامل بود( حتي نسبت به هتل هاي ٥ ستاره در اصفهان)
يك خبر خوب براي خانوم ها اينكه ،من از سالن ارايشگاه هتل هم استفاده كردم كه پرسنل حرفه اي هم داشتن، ارايش و شنيون مو رو عالي انجام دادن،
تنها ايرادي كه ميتونم ازهتل بگيرم استخر بانوان بود ، كه اسم حوض كوچك بيشتر مناسب هست، به خاطر تجهيزات وسط استخر يك ديوار كشيده شده به عرض تقريبي ٢ متر كه واقعا اين مكان رو بي ارزش كرده، ولي همسر من از استخر اقايون راضي بودن.
دسترسي هم به مكان هاي تاريخي تقريبا راحت بود.
فقط ما از رستوران هاي هتل استفاده نكرديم كه در اين مورد نظري نداريم",4,1
"سلام ما 4 شب اقامت داشتیم در24 تا28 دی ماه 96
ترانسفرخوب به موقع 
پذیرش سریع انجام شد
کیفیت صبحانه خوب اما تنوع کمه
هتل درحد 3 ستاره است اتاق ها بزرگ اما ملافه هاقدیمی وکهنه
تمام اتاق هااطراف حیاط وسروصداهاکاملا به اتاق می اد سکوتی نیست امانسبت به قیمتش خوبه مانفری 580 باپرواز رفتیم اما رفتار پرسنل خیلی خوب بود موقعیت مکانی هتل هم عالیه محوطه حیاطش قشنگه",3,1
سلام خانواده من سه روز از سوم بهمن تا ششم بهمن در این هتل اقامت داشتیم بسیار از مدیریت فعال و نظم و برنامه ریزی صحیح که ایجاد فضای بسیار شیک و تمیز منظم میکرد ممنون ناهار و صبحانه بسیار عالی فضای سبز و ساحل بسیار عالی و برخورد کارکنان بسیار خوب اگر باز برنامه ای برای سفر به کیش داشته باشم حتما این هتل را انتخاب میکنم درضمن اتاقها بسیار بزرگ و دلباز بود ممنون از بابت همه چیز,5,2
خیلی ایده خوبی بود که یک هتل کنار فرودگاه تاسیس شده.یک شب ایبیس اقامت داشتم.داخل اتاق مسواک خمیر دندان و چیزهای که تو اغلب هتلها هست نبود....فکر کنم حتی دمپایی هم نبود.لابی شیک بود.صبحانه خوب بود اما اتاق کوچیک و بی روحی داشت و سرویس بهداشتی و حمام هم مثل اغلب هتلهای ایرانی معمولی بود.ی هتل معمولی بود .البته نظافت هتل خوب بود.برخورد پرسنل هم خوب بود.اما مثل ایبیس کشورهای دیگه نیست .باز هم خدا رو شکر به فاصله کمی از فرودگاه ی هتل تمییز هست,3,1
"با سلام وخسته نباشید خدمت پرسنل زحمت کش مخصوصا آقای زارع عزیز که واقعا دلسوزانه در این هتل به همه مسافران خدمت میکنند من وخانواده ام از اولین مسافران این هتل شیک ونوساز بودیم ،نوروز سال 96 حدود ده شب را در این هتل گذراندیم چون تازه تاسیس بود هنوز در حال تعمیرات بودتد اما بدون کوچکترین سرو صداو گرد وغبار، صبحانه خوب ، دسترسی خوب ، دید دریا، اتاقها وسرویس کاملا شیک برخورد بسیار مهربان پرسنل وخوشبختانه صاحب هتل هم انسانی شریف وبزرگوار هستند وکاملا با انصاف که از خدا خواهانم انقدر موفق باشتد که در هر جای ایران هتلهایی برای همه مسافران به نام ایشان ساخته شود ما با ماشین شخصی از تهران به قشم رفتیم والحق با قیمت خیلی مناسب اتاق رو به ما تحویل دادن ، که هیچ جا چنین برخوردی ندیدم اگر قسمت باشه امسال هم میخوام برای عید نوروز به قشم رفته وهمون هتل رو انتخاب میکنم ، امتیاز ی که کم دادم به خاطر خانم رزوشن بود که میخواستن اتاق رو با قیمت بالا تر به مسافر دیگری بدهند که خوشبختانه پرسنل دیگر هتل با ایشان برخورد نمودند البته فکر میکنم الان شخص دیگری جای ایشان مشغول کار باشند با آرزوی موفقیت برای همه بچه های غیور جنوب کشورمان",4,2
"سلام من در تاریخ 96/10/17 به مدت سه شب و چهار روز به همراه 12نفر از اعضاء خانوادم مهمان هتل هاترا بودیم ... خانوم ها رو که میدونید چقدر حساس هستن ☺ چون خودم این هتل اینترنتی و از خوندن نظرها انتخاب کردم ترجیح دادم نظرم بنویسم تا کمکی به بقیه باشه .. به نمایندگی گروه 13 نفره مون هتل از همه نظر عالی بود ؛ باتشکر از همه ی پرسنل اعم از پذیرشگران عزیز ، کادر آشپزخانه و رستوران و کافی شاپ و خدمه و آژانس مربوط به هتل ... و تشکر ویژه از خانم عبودی رزرواسیون هتل که از راه دور هر قولی در مورد ویژگی اتاقها به من داده بود ، عمل کرده بود 😍",4,2
"این هتل بسیار زیباست، دسترسی عالی به دریا و مراکز خرید داره، صبحانه خیلی خوب بود، پرخورد پرسنل مخصوصا دربان ها بسیار خوب. ما سوییت ساحلی کابانا گرفته بودیم برای ۵ نفر، تو سایت هتل زده بود دارای یک اتاق خواب که همچین چیزی نبود، یه اتاق بزرگ‌بود با پنج تا تخت، خیلی کیفیت نداشت. توصیه میکنم از این سوییت ها نگیرین و اتاق های هتل رو رزرو کنین. کمی هم مواظب وسایلتون تو اتاق باشین. عینک آفتابی من روز اول تو اتاق بعد نظافت گم شد....",3,1
سلام ما 22 تا 26 دی 96 در هتل آرتا اقامت داشتیم. این هتل ازلحاظ تمیزی و برخورد پرسنل خوبه. صبحانه و ناهار در حد خوب هستش. اما اتاق های 2 تخته کوچیک هستن و دستشویی ایرانی ندارند. اما من دوباره اگر به قشم سفر کنم همین هتل رو انتخاب میکنم. این هتل بسیار نزدیک به سیتی سنتر و ساحل هستش,4,2
"من هم اكنون در هتل اقامت دارم و با اينكه دربرخي هتل هاي لوكس ايران اقامت داشتم،نظافت و تميزي،برخورد كاركنان آموزش ديده،غذا،قيمت مناسب اقامت و رسيدگي رو در حد بسيار مطلوب ميدونم و براي سفرهاي بعدي حتما اين هتل رو انتخاب خواهم كرد..",4,2
"هتل اتاقش تمییز بود،دسترسیش به جاهای مختلف خوب بود،برخورد پرسنل خوب بود پذیرش شیفت شب باتجربه تر بودن.صبحانه هم خیار و گوجه و پنیر و تخم مرغ آب پز و انواع مربا و کره عسلهای یک نفره بود در کل ما راضی بودیم ان شالله اگه بازم قسمت شه همین هتل رو انتخاب میکنیم.
فقط المنت سماور صبح روز اول سوخته بود ک صبحانه بدون چایی سرو شد ک روز دوم تعمیرش کردن.",5,2
"مزایا :
- موقعیت مناسب مکانی به جهت نزدیکی به بازارها و خیابان اصلی قشم (خ ولیعصر)
- برخورد محترمانه و راهنمایی های مناسب و کامل کارکنان پذیرش (بویژه سرکار خانم قلی زاده)
- رستوران خوان بوم 

معایب :
- به نظر می رسد نیروهای خدماتی آموزش کافی ندیده اند و در بکارگیری آنها سخت گیری های لازم انجام نشده است.
- فرسودگی وسایل و عدم رعایت نظافت و پاکیزگی مطلوب در رستوران هتل : (تعدادی از ظروف و لیوان ها آسیب دیده بودند و شست و شوی آنها به همراه چاقوها و قاشق ها به درستی انجام نشده بود.) 
- روتختی ها و بالش ها تا حدودی چرک به نظر می رسیدند.
- به علت ظرفیت گرمایی پایین آبگرمکن برقی نصب شده در حمام جهت تامین آب گرم مصرفی، در هنگام استحمام آب زودتر از حد انتظار سرد می شد.",3,0
"هتلی با امکانات و تجهیزات بسیار عالی و مدرن،اتاقهای لوکس با و تمیز ،صبحانه متنوع و عالی ،کارکنان مؤدب و خوش برخورد ،و همه اینها اقامت بسیار خوبی رو برای ما رقم زد.در صورتیکه اگر بار دیگر هم گذارم به تبریز بیفته همین هتل رو انتخاب میکنم.",4,2
بنده ۳باری در این هتل اقامت داشتم.از هر لحاظ تمیزی هتل بسیار خوب میباشد رفتار پرسنل عالی.امکانات عالی .لابی بسیار شیک.همه چی درحد عالی به شما هم پیشنهاد میکنم.تشکر,5,2
"برخورد كاركنان عالي
امكانات معمولي
صبحانه خوب 
رستوران خوب اما نه در حد ٥ستاره
تميزي : حشرات ريزي ميديدم كه نميدونم بخاطر نقص در نظافت بود يا بخاطر اينكه اتاق ما جز ء اتاقهاي لوكس محوطه بود نه داخل ساختمان هتل",4,1
